,sequence,frame,x,y,player
0,1,15,523,215,player_A
1,1,16,537,210,player_A
2,1,17,552,203,player_A
3,1,18,566,200,player_A
4,1,19,578,205,player_A
5,1,20,589,209,player_A
6,1,21,600,214,player_A
7,1,22,611,218,player_A
8,1,23,624,222,player_A
9,1,24,635,226,player_A
10,1,25,648,230,player_A
11,1,26,659,233,player_A
12,1,27,671,236,player_A
13,1,28,681,240,player_A
14,1,29,693,243,player_A
15,1,30,704,245,player_A
16,1,31,716,247,player_A
17,1,33,897,228,player_A
18,1,34,859,222,player_A
19,1,35,825,216,player_A
20,1,36,786,208,player_A
21,1,37,751,201,player_A
22,1,38,715,193,player_A
23,1,39,680,185,player_A
24,1,40,644,177,player_A
25,1,41,607,167,player_A
26,1,42,572,157,player_A
27,1,43,536,147,player_A
28,1,44,500,138,player_A
29,1,45,469,140,player_A
30,1,46,436,145,player_A
31,1,47,407,149,player_A
32,1,48,370,154,player_A
33,1,49,338,158,player_A
34,1,50,308,161,player_A
35,1,51,272,163,player_A
36,1,52,242,166,player_A
37,1,53,208,167,player_A
38,1,54,178,169,player_A
39,1,55,143,171,player_A
40,1,56,109,172,player_A
41,2,2189,1407,124,player_B
42,2,2190,1371,118,player_B
43,2,2191,1335,113,player_B
44,2,2192,1305,110,player_B
45,2,2193,1277,117,player_B
46,2,2194,1252,127,player_B
47,2,2195,1227,137,player_B
48,2,2196,1203,147,player_B
49,2,2197,1179,156,player_B
50,2,2198,1155,166,player_B
51,2,2199,1132,174,player_B
52,2,2200,1109,182,player_B
53,2,2201,1087,189,player_B
54,2,2202,1066,196,player_B
55,2,2203,1045,202,player_B
56,2,2204,1023,209,player_B
57,2,2208,944,229,player_B
58,2,2209,925,233,player_B
59,2,2210,907,237,player_B
60,2,2211,889,240,player_B
61,2,2212,871,243,player_B
62,2,2213,854,246,player_B
63,2,2214,838,248,player_B
64,2,2215,822,250,player_B
65,2,2216,805,252,player_B
66,2,2217,789,253,player_B
67,2,2218,774,254,player_B
68,2,2219,760,254,player_B
69,2,2220,745,254,player_B
70,2,2221,732,254,player_B
71,2,2222,717,254,player_B
72,2,2223,704,254,player_B
73,3,2267,848,262,player_A
74,3,2268,866,259,player_A
75,3,2269,883,256,player_A
76,3,2270,902,251,player_A
77,3,2271,920,247,player_A
78,3,2272,937,243,player_A
79,3,2273,956,238,player_A
80,3,2274,974,232,player_A
81,3,2275,991,226,player_A
82,3,2276,1009,220,player_A
83,3,2277,1027,214,player_A
84,3,2278,1046,206,player_A
85,3,2279,1064,200,player_A
86,3,2280,1081,192,player_A
87,3,2281,1099,184,player_A
88,3,2282,1117,177,player_A
89,3,2283,1135,168,player_A
90,3,2284,1153,159,player_A
91,3,2285,1171,149,player_A
92,3,2286,1189,140,player_A
93,3,2287,1208,136,player_A
94,3,2288,1229,141,player_A
95,3,2289,1252,146,player_A
96,3,2290,1274,151,player_A
97,3,2291,1295,154,player_A
98,3,2292,1317,159,player_A
99,3,2293,1339,162,player_A
100,3,2294,1362,166,player_A
101,3,2295,1385,169,player_A
102,3,2296,1407,172,player_A
103,3,2297,1430,174,player_A
104,3,2298,1452,175,player_A
105,3,2299,1475,177,player_A
106,4,9240,1269,163,player_B
107,4,9241,1250,160,player_B
108,4,9242,1231,157,player_B
109,4,9243,1212,154,player_B
110,4,9244,1196,154,player_B
111,4,9245,1180,161,player_B
112,4,9246,1166,167,player_B
113,4,9247,1152,173,player_B
114,4,9248,1138,180,player_B
115,4,9249,1123,185,player_B
116,4,9250,1110,191,player_B
117,4,9251,1096,196,player_B
118,4,9252,1084,200,player_B
119,4,9253,1070,205,player_B
120,4,9254,1057,209,player_B
121,4,9255,1044,213,player_B
122,4,9264,933,235,player_B
123,4,9265,922,236,player_B
124,4,9266,909,237,player_B
125,4,9267,899,238,player_B
126,4,9268,887,238,player_B
127,4,9269,877,238,player_B
128,4,9270,866,238,player_B
129,4,9271,855,238,player_B
130,4,9272,844,237,player_B
131,4,9273,833,237,player_B
132,4,9274,823,236,player_B
133,4,9275,813,235,player_B
134,4,9276,803,234,player_B
135,4,9277,792,232,player_B
136,4,9278,782,230,player_B
137,4,9279,773,228,player_B
138,4,9284,725,216,player_B
139,4,9285,716,212,player_B
140,4,9286,708,209,player_B
141,4,9287,699,206,player_B
142,4,9288,691,208,player_B
143,4,9289,683,212,player_B
144,4,9290,676,216,player_B
145,4,9291,669,220,player_B
146,4,9292,662,224,player_B
147,4,9293,654,227,player_B
148,4,9294,647,231,player_B
