,level_0,index,frame,x,y,event,player,height,bounce
0,0,0,18,566,200,bounce,player_A,,left
1,1,1,33,897,228,net,player_A,0.13,
2,2,2,44,500,138,bounce,player_A,,right
3,3,3,2192,1305,110,bounce,player_B,,left
4,4,4,2211,889,240,net,player_B,0.17,
5,5,5,2270,902,251,net,player_A,0.21,
6,6,6,2287,1208,136,bounce,player_A,,right
7,7,7,9243,1212,154,bounce,player_B,,right
8,8,8,9267,899,238,net,player_B,0.16,
9,9,9,9287,699,206,bounce,player_B,,right
10,10,10,9343,905,244,net,player_A,0.19,
11,11,11,9357,1046,176,bounce,player_A,,left
12,12,12,10463,1229,191,bounce,player_B,,right
13,13,13,10484,894,260,net,player_B,0.24,
14,14,14,10506,605,213,bounce,player_B,,right
15,15,15,12328,637,210,bounce,player_A,,left
16,16,16,12351,899,237,net,player_A,0.16,
17,17,17,12370,1112,165,bounce,player_A,,left
18,18,18,14178,897,249,net,player_A,0.2,
19,19,19,14198,1096,158,bounce,player_A,,left
20,20,20,14236,876,204,net,player_B,0.05,
21,21,21,14249,575,147,bounce,player_B,,left
22,22,22,14304,886,222,net,player_A,0.11,
23,23,23,14314,1157,156,bounce,player_A,,left
24,24,24,14351,913,311,net,player_B,0.42,
25,25,25,14374,546,221,bounce,player_B,,right
26,26,27,14406,901,276,net,player_A,0.3,
27,27,28,14422,1223,170,bounce,player_A,,left
28,28,29,14485,915,252,net,player_B,0.21,
29,29,30,14496,617,186,bounce,player_B,,right
30,30,32,14526,903,265,net,player_A,0.26,
31,31,33,14545,1332,147,bounce,player_A,,right
32,32,34,14608,913,267,net,player_B,0.27,
33,33,35,14619,675,186,bounce,player_B,,right
34,34,37,14650,903,249,net,player_A,0.2,
35,35,38,14662,1145,183,bounce,player_A,,left
36,36,39,14769,904,333,net,player_B,0.49,
37,37,40,14787,668,219,bounce,player_B,,right
38,38,42,14819,889,255,net,player_A,0.22,
39,39,43,14830,1060,188,bounce,player_A,,left
40,40,44,14941,908,270,net,player_B,0.28,
41,41,45,14959,640,202,bounce,player_B,,right
42,42,46,16424,874,200,net,player_B,0.03,
43,43,47,16441,692,153,bounce,player_B,,left
44,44,48,16485,898,257,net,player_A,0.23,
45,45,49,16506,1218,203,bounce,player_A,,left
46,46,50,16544,921,267,net,player_B,0.27,
47,47,51,16556,473,158,bounce,player_B,,left
48,48,53,16590,888,214,net,player_A,0.08,
49,49,54,16599,1088,169,bounce,player_A,,left
50,50,55,16658,897,274,net,player_B,0.29,
51,51,56,16677,456,146,bounce,player_B,,left
52,52,57,17501,892,258,net,player_A,0.23,
53,53,58,17524,1042,164,bounce,player_A,,left
54,54,59,18302,893,235,net,player_B,0.15,
55,55,60,18325,604,159,bounce,player_B,,left
56,56,62,18373,884,225,net,player_A,0.12,
57,57,63,18391,1062,129,bounce,player_A,,right
58,58,64,18459,881,212,net,player_B,0.07,
59,59,65,18471,763,175,bounce,player_B,,right
60,60,66,18533,898,254,net,player_A,0.22,
61,61,67,18555,1134,145,bounce,player_A,,right
62,62,68,18596,878,210,net,player_B,0.07,
63,63,69,18613,425,111,bounce,player_B,,left
64,64,70,18701,903,275,net,player_A,0.29,
65,65,71,18720,1200,111,bounce,player_A,,right
66,66,72,20706,898,274,net,player_B,0.29,
67,67,73,20730,839,193,bounce,player_B,,right
68,68,74,22532,895,260,net,player_A,0.24,
69,69,75,22552,1099,183,bounce,player_A,,left
70,70,76,22591,897,247,net,player_B,0.2,
71,71,77,22603,688,207,bounce,player_B,,right
72,72,78,24586,666,207,bounce,player_A,,left
73,73,79,24607,890,243,net,player_A,0.18,
74,74,80,24631,1148,146,bounce,player_A,,right
75,75,81,24677,910,264,net,player_B,0.25,
76,76,82,24698,558,207,bounce,player_B,,right
77,77,84,27737,880,221,net,player_A,0.11,
78,78,85,27755,1076,147,bounce,player_A,,right
79,79,86,27813,885,223,net,player_B,0.11,
80,80,87,27825,767,180,bounce,player_B,,right
81,81,88,27890,898,252,net,player_A,0.21,
82,82,89,27914,1165,130,bounce,player_A,,right
83,83,90,27960,901,226,net,player_B,0.12,
84,84,91,27969,698,202,bounce,player_B,,right
85,85,92,29610,888,214,net,player_A,0.08,
86,86,93,29631,1141,134,bounce,player_A,,right
87,87,94,29677,905,264,net,player_B,0.25,
88,88,95,29700,716,198,bounce,player_B,,right
89,89,96,30253,698,165,bounce,player_A,,left
90,90,97,30273,890,240,net,player_A,0.17,
91,91,98,31697,1229,110,bounce,player_B,,left
92,92,99,31719,879,202,net,player_B,0.04,
93,93,100,31738,657,168,bounce,player_B,,right
94,94,101,31796,895,235,net,player_A,0.15,
95,95,102,31813,1178,123,bounce,player_A,,right
96,96,103,31836,904,255,net,player_A,0.22,
97,97,104,32647,899,273,net,player_A,0.29,
98,98,105,32666,1026,173,bounce,player_A,,left
99,99,106,33373,1324,110,bounce,player_B,,left
100,100,107,33394,888,220,net,player_B,0.1,
101,101,108,33417,579,194,bounce,player_B,,right
102,102,109,33481,1377,132,bounce,player_A,,right
103,103,110,33504,878,225,net,player_A,0.12,
104,104,112,36388,893,229,net,player_A,0.13,
105,105,113,36406,1092,150,bounce,player_A,,right
106,106,114,36441,883,222,net,player_B,0.11,
107,107,115,36461,430,122,bounce,player_B,,left
108,108,116,36509,904,200,net,player_A,0.03,
109,109,117,36518,1234,136,bounce,player_A,,right
110,110,119,37951,633,209,bounce,player_A,,left
111,111,120,37974,902,250,net,player_A,0.21,
112,112,121,37998,1179,174,bounce,player_A,,left
113,113,122,38153,901,285,net,player_A,0.33,
114,114,123,38175,1286,144,bounce,player_A,,right
115,115,124,38207,890,218,net,player_B,0.1,
116,116,125,38217,414,135,bounce,player_B,,left
117,117,126,40389,888,232,net,player_A,0.14,
118,118,127,40401,947,135,bounce,player_A,,right
119,119,128,41723,1169,131,bounce,player_B,,left
120,120,129,41745,884,223,net,player_B,0.11,
121,121,130,41766,701,200,bounce,player_B,,right
122,122,131,41814,901,299,net,player_A,0.38,
123,123,132,41838,1200,194,bounce,player_A,,left
124,124,133,41871,902,278,net,player_B,0.3,
125,125,134,41883,530,223,bounce,player_B,,right
126,126,135,44216,886,210,net,player_B,0.07,
127,127,136,44236,689,162,bounce,player_B,,left
128,128,137,44277,890,238,net,player_A,0.16,
129,129,138,44295,1240,129,bounce,player_A,,right
130,130,140,44321,918,256,net,player_B,0.23,
131,131,141,44341,515,212,bounce,player_B,,right
132,132,142,44371,894,271,net,player_A,0.28,
133,133,143,44391,1384,123,bounce,player_A,,right
134,134,144,45698,895,239,net,player_B,0.17,
135,135,145,45721,735,180,bounce,player_B,,right
136,136,146,47114,629,208,bounce,player_A,,left
137,137,147,47137,889,244,net,player_A,0.19,
138,138,148,47160,1149,171,bounce,player_A,,left
139,139,149,49249,878,213,net,player_A,0.08,
140,140,150,49265,1063,143,bounce,player_A,,right
141,141,151,49330,892,244,net,player_B,0.19,
142,142,152,49351,683,171,bounce,player_B,,right
143,143,153,49411,882,218,net,player_A,0.1,
144,144,154,49430,1147,104,bounce,player_A,,right
145,145,155,49489,886,223,net,player_B,0.11,
146,146,156,49501,795,180,bounce,player_B,,right
147,147,157,49564,899,266,net,player_A,0.26,
148,148,158,49588,1131,156,bounce,player_A,,left
149,149,159,69176,903,273,net,player_A,0.29,
150,150,160,69200,1170,199,bounce,player_A,,left
151,151,161,69243,907,256,net,player_B,0.23,
152,152,162,69259,547,134,bounce,player_B,,left
153,153,163,69300,902,252,net,player_A,0.21,
154,154,164,69314,1183,188,bounce,player_A,,left
155,155,165,69349,905,237,net,player_B,0.16,
156,156,166,69360,607,142,bounce,player_B,,left
157,157,167,69398,890,252,net,player_A,0.21,
158,158,168,69412,1200,195,bounce,player_A,,left
159,159,169,69443,914,253,net,player_B,0.22,
160,160,170,69457,526,145,bounce,player_B,,left
161,161,171,69492,897,249,net,player_A,0.2,
162,162,172,69505,1182,194,bounce,player_A,,left
163,163,173,69538,893,255,net,player_B,0.22,
164,164,174,69552,535,156,bounce,player_B,,left
165,165,175,69588,904,259,net,player_A,0.24,
166,166,176,69602,1211,196,bounce,player_A,,left
167,167,177,69640,902,244,net,player_B,0.19,
168,168,178,69652,620,150,bounce,player_B,,left
169,169,179,69691,903,249,net,player_A,0.2,
170,170,180,69703,1183,196,bounce,player_A,,left
171,171,181,69753,913,262,net,player_B,0.25,
172,172,182,69763,617,151,bounce,player_B,,left
173,173,183,69796,901,248,net,player_A,0.2,
174,174,184,69809,1218,194,bounce,player_A,,left
175,175,185,69856,920,253,net,player_B,0.22,
176,176,186,69866,585,142,bounce,player_B,,left
177,177,187,69899,900,242,net,player_A,0.18,
178,178,188,69911,1191,191,bounce,player_A,,left
179,179,189,69961,898,258,net,player_B,0.23,
180,180,190,69972,525,132,bounce,player_B,,left
181,181,192,70003,891,254,net,player_A,0.22,
182,182,193,70019,1277,190,bounce,player_A,,left
183,183,194,70065,903,274,net,player_B,0.29,
184,184,195,70080,341,122,bounce,player_B,,left
185,185,197,70111,891,219,net,player_A,0.1,
186,186,198,70122,1143,176,bounce,player_A,,left
187,187,199,70180,880,239,net,player_B,0.17,
188,188,200,70190,519,121,bounce,player_B,,left
189,189,202,71184,1173,154,bounce,player_B,,left
190,190,203,71204,885,226,net,player_B,0.12,
191,191,204,71284,897,244,net,player_A,0.19,
192,192,205,71297,1150,182,bounce,player_A,,left
193,193,206,71405,875,225,net,player_A,0.12,
194,194,207,71417,1147,171,bounce,player_A,,left
195,195,208,71478,903,265,net,player_B,0.26,
196,196,209,71492,473,137,bounce,player_B,,left
197,197,211,71524,883,244,net,player_A,0.19,
198,198,212,71537,1165,189,bounce,player_A,,left
199,199,213,71592,915,260,net,player_B,0.24,
200,200,214,71603,552,147,bounce,player_B,,left
201,201,216,71638,910,253,net,player_A,0.22,
202,202,217,71652,1200,192,bounce,player_A,,left
203,203,218,71705,909,259,net,player_B,0.24,
204,204,219,71716,536,137,bounce,player_B,,left
205,205,221,71749,890,236,net,player_A,0.16,
206,206,222,71760,1131,190,bounce,player_A,,left
207,207,223,71814,916,269,net,player_B,0.27,
208,208,224,71825,525,152,bounce,player_B,,left
209,209,226,71859,886,246,net,player_A,0.19,
210,210,227,71872,1178,188,bounce,player_A,,left
211,211,228,71926,898,269,net,player_B,0.27,
212,212,229,71937,546,156,bounce,player_B,,left
213,213,231,71973,890,249,net,player_A,0.2,
214,214,232,71984,1118,200,bounce,player_A,,left
215,215,233,72036,892,267,net,player_B,0.27,
216,216,234,72050,577,155,bounce,player_B,,left
217,217,235,72097,904,247,net,player_A,0.2,
218,218,236,72108,1099,187,bounce,player_A,,left
219,219,237,72154,909,261,net,player_B,0.24,
220,220,238,72168,574,147,bounce,player_B,,left
221,221,239,72222,893,261,net,player_A,0.24,
222,222,240,72234,1165,191,bounce,player_A,,left
223,223,241,72269,915,263,net,player_B,0.25,
224,224,242,72285,515,126,bounce,player_B,,left
225,225,243,72341,888,242,net,player_A,0.18,
226,226,244,72351,1161,182,bounce,player_A,,left
227,227,245,72389,884,233,net,player_B,0.15,
228,228,246,72401,602,139,bounce,player_B,,left
229,229,247,72464,887,245,net,player_A,0.19,
230,230,248,72476,1210,185,bounce,player_A,,left
231,231,249,72512,891,244,net,player_B,0.19,
232,232,250,72526,544,132,bounce,player_B,,left
233,233,251,72584,898,252,net,player_A,0.21,
234,234,252,72596,1231,187,bounce,player_A,,left
235,235,254,72630,900,234,net,player_B,0.15,
