,level_0,index,sequence,frame_1,frame_2,diff_frame,x1,y1,x2,y2,player,net_hit,sub,avg_velocity
0,0,0,1,15,56,41,523,215,109,172,player_A,1,0,10.15
1,1,1,2,2189,2223,34,1407,124,704,254,player_B,0,0,21.03
2,2,2,3,2267,2299,32,848,262,1475,177,player_A,0,0,19.77
3,3,3,4,9240,9299,59,1269,163,612,244,player_B,0,1,11.22
4,4,4,5,9340,9369,29,874,254,1137,208,player_A,0,0,9.21
5,5,5,6,10459,10518,59,1313,206,480,248,player_B,0,1,14.14
6,6,6,7,12325,12382,57,593,225,1229,188,player_A,0,1,11.18
7,7,7,8,14175,14210,35,866,255,1219,193,player_A,0,0,10.24
8,8,8,9,14233,14260,27,954,210,382,199,player_B,0,0,21.19
9,9,9,10,14301,14326,25,793,235,1473,231,player_A,0,0,27.2
10,10,10,11,14348,14387,39,974,313,500,288,player_B,0,0,12.17
11,11,11,12,14403,14434,31,838,286,1434,213,player_A,0,0,19.37
12,12,12,13,14482,14509,27,1008,262,481,270,player_B,0,0,19.52
13,13,13,14,14523,14557,34,830,273,1579,203,player_A,0,0,22.13
14,14,14,15,14605,14631,26,988,282,455,269,player_B,0,0,20.51
15,15,15,16,14647,14674,27,837,259,1354,230,player_A,0,0,19.18
16,16,16,17,14766,14799,33,949,344,562,288,player_B,0,0,11.85
17,17,17,18,14816,14842,26,840,267,1222,227,player_A,0,0,14.77
18,18,18,19,14938,14971,33,959,273,455,259,player_B,0,0,15.28
19,19,19,20,16421,16453,32,909,202,602,196,player_B,0,0,9.6
20,20,20,21,16482,16518,36,840,256,1350,253,player_A,0,0,14.17
21,21,21,22,16541,16569,28,1031,278,253,215,player_B,0,0,27.88
22,22,22,23,16587,16611,24,811,224,1304,226,player_A,0,0,20.54
23,23,23,24,16655,16689,34,971,282,211,202,player_B,0,0,22.48
24,24,24,25,17498,17536,38,871,262,1085,216,player_A,0,0,5.76
25,25,25,26,18299,18337,38,932,236,504,201,player_B,0,0,11.3
26,26,26,27,18370,18403,33,853,234,1139,185,player_A,0,0,8.79
27,27,27,28,18456,18483,27,913,218,686,228,player_B,0,0,8.42
28,28,28,29,18530,18567,37,866,262,1227,190,player_A,0,0,9.95
29,29,29,30,18593,18625,32,966,216,125,175,player_B,0,0,26.31
30,30,30,31,18698,18732,34,846,295,1324,216,player_A,0,0,14.25
31,31,31,32,20705,20742,37,902,275,809,242,player_B,0,0,2.67
32,32,32,33,22529,22564,35,863,263,1223,214,player_A,0,0,10.38
33,33,33,34,22588,22615,27,958,251,533,260,player_B,0,0,15.74
34,34,34,35,24583,24643,60,626,222,1268,175,player_A,0,1,10.73
35,35,35,36,24674,24710,36,977,260,549,252,player_B,0,0,11.89
36,36,36,37,27734,27767,33,846,226,1170,187,player_A,0,0,9.89
37,37,37,38,27810,27837,27,916,229,688,225,player_B,0,0,8.45
38,38,38,39,27887,27926,39,864,258,1265,171,player_A,0,0,10.52
39,39,39,40,27957,27981,24,984,226,467,274,player_B,0,0,21.63
40,40,40,41,29607,29643,36,851,218,1252,171,player_A,0,0,11.22
41,41,41,42,29674,29712,38,933,267,659,249,player_B,0,0,7.23
42,42,42,43,30250,30285,35,657,187,1002,236,player_A,0,0,9.96
43,43,43,44,31694,31750,56,1295,125,543,219,player_B,0,1,13.53
44,44,44,45,31793,31848,55,844,246,543,244,player_A,0,0,5.47
45,45,45,46,32644,32678,34,878,280,1088,221,player_A,0,0,6.42
46,46,46,47,33370,33429,59,1414,125,482,249,player_B,0,1,15.94
47,47,47,48,33478,33516,38,1327,162,324,138,player_A,0,0,26.4
48,48,48,49,36385,36418,33,859,235,1196,190,player_A,0,0,10.3
49,49,49,50,36438,36473,35,957,225,187,173,player_B,0,0,22.05
50,50,50,51,36506,36530,24,765,216,1359,254,player_A,0,0,24.8
51,51,51,52,37948,38010,62,592,226,1279,210,player_A,0,1,11.08
52,52,52,53,38150,38187,37,844,293,1530,208,player_A,0,0,18.68
53,53,53,54,38204,38228,24,1043,230,274,269,player_B,0,0,32.08
54,54,54,55,40386,40413,27,871,253,1015,217,player_A,0,0,5.5
55,55,55,56,41720,41778,58,1228,141,646,246,player_B,0,1,10.2
56,56,56,57,41811,41850,39,862,301,1376,235,player_A,0,0,13.29
57,57,57,58,41868,41892,24,1014,281,298,279,player_B,0,0,29.83
58,58,58,59,44213,44248,35,919,209,592,219,player_B,0,0,9.35
59,59,59,60,44274,44307,33,829,246,1356,191,player_A,0,0,16.06
60,60,60,61,44318,44353,35,997,251,480,275,player_B,0,0,14.79
61,61,61,62,44368,44403,35,820,280,1608,132,player_A,0,0,22.91
62,62,62,63,45695,45733,38,920,238,686,231,player_B,0,0,6.16
63,63,63,64,47111,47172,61,589,225,1250,205,player_A,0,1,10.84
64,64,64,65,49246,49277,31,844,219,1175,172,player_A,0,0,10.78
65,65,65,66,49327,49363,36,925,248,610,225,player_B,0,0,8.77
66,66,66,67,49408,49442,34,841,229,1290,137,player_A,0,0,13.48
67,67,67,68,49486,49513,27,911,230,742,238,player_B,0,0,6.27
68,68,68,69,49561,49600,39,869,272,1216,198,player_A,0,0,9.1
69,69,69,70,69173,69212,39,864,272,1295,250,player_A,0,0,11.07
70,70,70,71,69240,69271,31,973,268,284,188,player_B,0,0,22.38
71,71,71,72,69297,69326,29,825,259,1346,260,player_A,0,0,17.97
72,72,72,73,69346,69372,26,986,254,309,194,player_B,0,0,26.14
73,73,73,74,69395,69424,29,802,257,1388,266,player_A,0,0,20.21
74,74,74,75,69440,69469,29,995,264,221,199,player_B,0,0,26.78
75,75,75,76,69489,69517,28,813,255,1371,260,player_A,0,0,19.93
76,76,76,77,69535,69564,29,972,266,251,208,player_B,0,0,24.94
